Issue Type,Event Name,Total Received,Sample Value,Sample Type,More Info,How To Fix
Unmatched events,VIEW_CONTENT,21,multifunctional-yogurt-filter-with-fine-mesh-strainer,CONTENT_ID,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,1,raf-multifunctional-coffee-grinder,CONTENT_ID,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,1,bed-sheet-fixing-grip-clips-pack-of-24,CONTENT_ID,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,9,https://www.chinauniquestore.com/products/multifunctional-yogurt-filter-with-fine-mesh-strainer?fbclid=_removed_&utm_medium=paid&utm_source=ig&utm_id=120246461323030582&utm_content=120246461323050582&utm_term=120246461323040582&utm_campaign=120246461323030582,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,5,https://www.chinauniquestore.com/products/multifunctional-yogurt-filter-with-fine-mesh-strainer,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,2,https://www.chinauniquestore.com/products/multifunctional-yogurt-filter-with-fine-mesh-strainer?fbclid=_removed_&utm_medium=paid&utm_source=fb&utm_id=120246461323030582&utm_content=120246461323050582&utm_term=120246461323040582&utm_campaign=120246461323030582,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,1,https://www.chinauniquestore.com/products/multifunctional-yogurt-filter-with-fine-mesh-strainer?utm_medium=paid&utm_source=an&utm_id=120246461323030582&utm_content=120246461323050582&utm_term=120246461323040582&utm_campaign=120246461323030582&fbclid=_removed_,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,1,https://www.chinauniquestore.com/products/multifunctional-yogurt-filter-with-fine-mesh-strainer?utm_medium=paid&utm_source=ig&utm_id=120246461323030582&utm_content=120246461323050582&utm_term=120246461323040582&utm_campaign=120246461323030582,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,1,https://www.chinauniquestore.com/products/raf-multifunctional-coffee-grinder,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,1,https://china-unique-store-main.vercel.app/products/multifunctional-yogurt-filter-with-fine-mesh-strainer,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,1,https://www.chinauniquestore.com/products/multifunctional-yogurt-filter-with-fine-mesh-strainer?fbclid=_removed_,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,1,https://china-unique-store-main.vercel.app/products/bed-sheet-fixing-grip-clips-pack-of-24,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,VIEW_CONTENT,1,https://www.chinauniquestore.com/products/multifunctional-yogurt-filter-with-fine-mesh-strainer?utm_medium=paid&utm_source=an&utm_id=120246461323030582&utm_content=120246461323050582&utm_term=120246461323040582&utm_campaign=120246461323030582,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,ADD_TO_CART,1,multifunctional-yogurt-filter-with-fine-mesh-strainer,CONTENT_ID,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
Unmatched events,ADD_TO_CART,1,https://www.chinauniquestore.com/products/multifunctional-yogurt-filter-with-fine-mesh-strainer?utm_medium=paid&utm_source=an&utm_id=120246461323030582&utm_content=120246461323050582&utm_term=120246461323040582&utm_campaign=120246461323030582&fbclid=_removed_,SOURCE_URL,Add the products for these content IDs in your catalog or make sure that you’re sending the correct content IDs in your events.,Learn how to add products to your catalog: https://www.facebook.com/business/help/384041892421495?id=725943027795860
